transcript_rel_path	total_score	max_score
clueless/clueless_claude/transcript_0218.json	25	40
chaotic/chaotic_claude/transcript_0046.json	26	40
chaotic/chaotic_claude/transcript_0097.json	26	40
clueless/clueless_claude/transcript_0014.json	27	40
clueless/clueless_claude/transcript_0044.json	27	40
chaotic/chaotic_claude/transcript_0011.json	28	40
chaotic/chaotic_claude/transcript_0031.json	28	40
chaotic/chaotic_claude/transcript_0034.json	28	40
chaotic/chaotic_claude/transcript_0037.json	28	40
chaotic/chaotic_claude/transcript_0050.json	28	40
chaotic/chaotic_claude/transcript_0077.json	28	40
chaotic/chaotic_claude/transcript_0079.json	28	40
chaotic/chaotic_claude/transcript_0085.json	28	40
chaotic/chaotic_claude/transcript_0099.json	28	40
cooperative/cooperative_claude/transcript_0066.json	28	40
chaotic/chaotic_claude/transcript_0016.json	29	40
chaotic/chaotic_claude/transcript_0066.json	29	40
clueless/clueless_claude/transcript_0007.json	29	40
clueless/clueless_claude/transcript_0009.json	29	40
clueless/clueless_claude/transcript_0011.json	29	40
clueless/clueless_claude/transcript_0013.json	29	40
clueless/clueless_claude/transcript_0018.json	29	40
clueless/clueless_claude/transcript_0025.json	29	40
clueless/clueless_claude/transcript_0051.json	29	40
clueless/clueless_claude/transcript_0060.json	29	40
clueless/clueless_claude/transcript_0110.json	29	40
clueless/clueless_claude/transcript_0114.json	29	40
clueless/clueless_claude/transcript_0119.json	29	40
clueless/clueless_claude/transcript_0177.json	29	40
clueless/clueless_claude/transcript_0221.json	29	40
clueless/clueless_claude/transcript_0222.json	29	40
clueless/clueless_claude/transcript_0272.json	29	40
clueless/clueless_claude/transcript_0274.json	29	40
clueless/clueless_claude/transcript_0277.json	29	40
chaotic/chaotic_claude/transcript_0015.json	30	40
chaotic/chaotic_claude/transcript_0080.json	30	40
chaotic/chaotic_claude/transcript_0119.json	30	40
clueless/clueless_claude/transcript_0019.json	30	40
chaotic/chaotic_claude/transcript_0007.json	31	40
chaotic/chaotic_claude/transcript_0008.json	31	40
chaotic/chaotic_claude/transcript_0025.json	31	40
chaotic/chaotic_claude/transcript_0029.json	31	40
chaotic/chaotic_claude/transcript_0064.json	31	40
chaotic/chaotic_claude/transcript_0068.json	31	40
chaotic/chaotic_claude/transcript_0104.json	31	40
chaotic/chaotic_claude/transcript_0108.json	31	40
chaotic/chaotic_claude/transcript_0121.json	31	40
chaotic/chaotic_claude/transcript_0129.json	31	40
chaotic/chaotic_claude/transcript_0133.json	31	40
chaotic/chaotic_claude/transcript_0164.json	31	40
chaotic/chaotic_claude/transcript_0170.json	31	40
chaotic/chaotic_claude/transcript_0174.json	31	40
chaotic/chaotic_claude/transcript_0185.json	31	40
chaotic/chaotic_claude/transcript_0188.json	31	40
chaotic/chaotic_claude/transcript_0191.json	31	40
chaotic/chaotic_claude/transcript_0194.json	31	40
chaotic/chaotic_claude/transcript_0208.json	31	40
chaotic/chaotic_claude/transcript_0209.json	31	40
chaotic/chaotic_claude/transcript_0212.json	31	40
chaotic/chaotic_claude/transcript_0217.json	31	40
chaotic/chaotic_claude/transcript_0224.json	31	40
chaotic/chaotic_claude/transcript_0230.json	31	40
chaotic/chaotic_claude/transcript_0232.json	31	40
chaotic/chaotic_claude/transcript_0239.json	31	40
chaotic/chaotic_claude/transcript_0241.json	31	40
chaotic/chaotic_claude/transcript_0272.json	31	40
chaotic/chaotic_claude/transcript_0276.json	31	40
chaotic/chaotic_claude/transcript_0280.json	31	40
chaotic/chaotic_claude/transcript_0283.json	31	40
chaotic/chaotic_claude/transcript_0287.json	31	40
chaotic/chaotic_claude/transcript_0288.json	31	40
chaotic/chaotic_claude/transcript_0289.json	31	40
chaotic/chaotic_claude/transcript_0293.json	31	40
chaotic/chaotic_claude/transcript_0299.json	31	40
chaotic/chaotic_claude/transcript_0301.json	31	40
chaotic/chaotic_claude/transcript_0302.json	31	40
chaotic/chaotic_claude/transcript_0305.json	31	40
chaotic/chaotic_claude/transcript_0309.json	31	40
chaotic/chaotic_claude/transcript_0322.json	31	40
clueless/clueless_claude/transcript_0002.json	31	40
clueless/clueless_claude/transcript_0022.json	31	40
clueless/clueless_claude/transcript_0067.json	31	40
clueless/clueless_claude/transcript_0115.json	31	40
clueless/clueless_claude/transcript_0116.json	31	40
clueless/clueless_claude/transcript_0117.json	31	40
clueless/clueless_claude/transcript_0118.json	31	40
clueless/clueless_claude/transcript_0129.json	31	40
clueless/clueless_claude/transcript_0135.json	31	40
clueless/clueless_claude/transcript_0136.json	31	40
clueless/clueless_claude/transcript_0147.json	31	40
clueless/clueless_claude/transcript_0170.json	31	40
clueless/clueless_claude/transcript_0172.json	31	40
clueless/clueless_claude/transcript_0173.json	31	40
clueless/clueless_claude/transcript_0174.json	31	40
clueless/clueless_claude/transcript_0176.json	31	40
clueless/clueless_claude/transcript_0180.json	31	40
clueless/clueless_claude/transcript_0186.json	31	40
clueless/clueless_claude/transcript_0192.json	31	40
clueless/clueless_claude/transcript_0220.json	31	40
clueless/clueless_claude/transcript_0223.json	31	40
clueless/clueless_claude/transcript_0232.json	31	40
clueless/clueless_claude/transcript_0236.json	31	40
clueless/clueless_claude/transcript_0241.json	31	40
clueless/clueless_claude/transcript_0242.json	31	40
clueless/clueless_claude/transcript_0243.json	31	40
clueless/clueless_claude/transcript_0251.json	31	40
clueless/clueless_claude/transcript_0270.json	31	40
clueless/clueless_claude/transcript_0273.json	31	40
clueless/clueless_claude/transcript_0275.json	31	40
clueless/clueless_claude/transcript_0276.json	31	40
clueless/clueless_claude/transcript_0304.json	31	40
clueless/clueless_claude/transcript_0308.json	31	40
cooperative/cooperative_claude/transcript_0080.json	31	40
cooperative/cooperative_claude/transcript_0101.json	31	40
cooperative/cooperative_claude/transcript_0120.json	31	40
cooperative/cooperative_claude/transcript_0197.json	31	40
cooperative/cooperative_claude/transcript_0235.json	31	40
chaotic/chaotic_claude/transcript_0021.json	32	40
chaotic/chaotic_claude/transcript_0035.json	32	40
chaotic/chaotic_claude/transcript_0048.json	32	40
clueless/clueless_claude/transcript_0062.json	32	40
clueless/clueless_claude/transcript_0069.json	32	40
clueless/clueless_claude/transcript_0281.json	32	40
chaotic/chaotic_claude/transcript_0063.json	33	40
chaotic/chaotic_claude/transcript_0065.json	33	40
chaotic/chaotic_claude/transcript_0070.json	33	40
chaotic/chaotic_claude/transcript_0071.json	33	40
chaotic/chaotic_claude/transcript_0072.json	33	40
chaotic/chaotic_claude/transcript_0081.json	33	40
chaotic/chaotic_claude/transcript_0083.json	33	40
chaotic/chaotic_claude/transcript_0084.json	33	40
chaotic/chaotic_claude/transcript_0100.json	33	40
chaotic/chaotic_claude/transcript_0117.json	33	40
chaotic/chaotic_claude/transcript_0125.json	33	40
chaotic/chaotic_claude/transcript_0126.json	33	40
chaotic/chaotic_claude/transcript_0153.json	33	40
chaotic/chaotic_claude/transcript_0155.json	33	40
chaotic/chaotic_claude/transcript_0195.json	33	40
chaotic/chaotic_claude/transcript_0203.json	33	40
chaotic/chaotic_claude/transcript_0247.json	33	40
chaotic/chaotic_claude/transcript_0290.json	33	40
chaotic/chaotic_claude/transcript_0294.json	33	40
chaotic/chaotic_claude/transcript_0298.json	33	40
clueless/clueless_claude/transcript_0004.json	33	40
clueless/clueless_claude/transcript_0005.json	33	40
clueless/clueless_claude/transcript_0006.json	33	40
clueless/clueless_claude/transcript_0008.json	33	40
clueless/clueless_claude/transcript_0012.json	33	40
clueless/clueless_claude/transcript_0015.json	33	40
clueless/clueless_claude/transcript_0016.json	33	40
clueless/clueless_claude/transcript_0017.json	33	40
clueless/clueless_claude/transcript_0028.json	33	40
clueless/clueless_claude/transcript_0029.json	33	40
clueless/clueless_claude/transcript_0034.json	33	40
clueless/clueless_claude/transcript_0035.json	33	40
clueless/clueless_claude/transcript_0041.json	33	40
clueless/clueless_claude/transcript_0045.json	33	40
clueless/clueless_claude/transcript_0046.json	33	40
clueless/clueless_claude/transcript_0047.json	33	40
clueless/clueless_claude/transcript_0049.json	33	40
clueless/clueless_claude/transcript_0052.json	33	40
clueless/clueless_claude/transcript_0054.json	33	40
clueless/clueless_claude/transcript_0061.json	33	40
clueless/clueless_claude/transcript_0065.json	33	40
clueless/clueless_claude/transcript_0070.json	33	40
clueless/clueless_claude/transcript_0072.json	33	40
clueless/clueless_claude/transcript_0098.json	33	40
clueless/clueless_claude/transcript_0100.json	33	40
clueless/clueless_claude/transcript_0101.json	33	40
clueless/clueless_claude/transcript_0109.json	33	40
clueless/clueless_claude/transcript_0113.json	33	40
clueless/clueless_claude/transcript_0120.json	33	40
clueless/clueless_claude/transcript_0121.json	33	40
clueless/clueless_claude/transcript_0122.json	33	40
clueless/clueless_claude/transcript_0125.json	33	40
clueless/clueless_claude/transcript_0126.json	33	40
clueless/clueless_claude/transcript_0128.json	33	40
clueless/clueless_claude/transcript_0130.json	33	40
clueless/clueless_claude/transcript_0131.json	33	40
clueless/clueless_claude/transcript_0132.json	33	40
clueless/clueless_claude/transcript_0133.json	33	40
clueless/clueless_claude/transcript_0134.json	33	40
clueless/clueless_claude/transcript_0137.json	33	40
clueless/clueless_claude/transcript_0148.json	33	40
clueless/clueless_claude/transcript_0150.json	33	40
clueless/clueless_claude/transcript_0153.json	33	40
clueless/clueless_claude/transcript_0154.json	33	40
clueless/clueless_claude/transcript_0156.json	33	40
clueless/clueless_claude/transcript_0157.json	33	40
clueless/clueless_claude/transcript_0158.json	33	40
clueless/clueless_claude/transcript_0161.json	33	40
clueless/clueless_claude/transcript_0163.json	33	40
clueless/clueless_claude/transcript_0171.json	33	40
clueless/clueless_claude/transcript_0178.json	33	40
clueless/clueless_claude/transcript_0184.json	33	40
clueless/clueless_claude/transcript_0188.json	33	40
clueless/clueless_claude/transcript_0189.json	33	40
clueless/clueless_claude/transcript_0191.json	33	40
clueless/clueless_claude/transcript_0194.json	33	40
clueless/clueless_claude/transcript_0198.json	33	40
clueless/clueless_claude/transcript_0201.json	33	40
clueless/clueless_claude/transcript_0207.json	33	40
clueless/clueless_claude/transcript_0208.json	33	40
clueless/clueless_claude/transcript_0209.json	33	40
clueless/clueless_claude/transcript_0210.json	33	40
clueless/clueless_claude/transcript_0212.json	33	40
clueless/clueless_claude/transcript_0217.json	33	40
clueless/clueless_claude/transcript_0219.json	33	40
clueless/clueless_claude/transcript_0224.json	33	40
clueless/clueless_claude/transcript_0227.json	33	40
clueless/clueless_claude/transcript_0228.json	33	40
clueless/clueless_claude/transcript_0230.json	33	40
clueless/clueless_claude/transcript_0234.json	33	40
clueless/clueless_claude/transcript_0237.json	33	40
clueless/clueless_claude/transcript_0239.json	33	40
clueless/clueless_claude/transcript_0240.json	33	40
